county,survey_date,avg_rain_3m,survey_round,raw_date,gam_percent,emergency_or_not_emergency,year,month,start_window,end_window,events_3m,fatalities_3m,displaced_3m,price_3m,wasting_binary
Awerial,2025-07-01,NA,r31,Jul-25,14.3,No,2025,Jul,2025-04-01,2025-07-01,3,1,1372,NA,0
Ayod,2025-07-01,NA,r31,Jul-25,10.5,No,2025,Jul,2025-04-01,2025-07-01,22,38,17686,NA,0
Baliet,2025-07-01,NA,r31,Jul-25,21,Yes,2025,Jul,2025-04-01,2025-07-01,0,0,0,NA,1
Bor South,2025-07-01,NA,r31,Jul-25,20.2,Yes,2025,Jul,2025-04-01,2025-07-01,31,27,101808,234733.6586353561,1
Budi,2025-07-01,NA,r31,Jul-25,14.8,No,2025,Jul,2025-04-01,2025-07-01,19,12,43125,41691.86157919632,0
Canal/Pigi,2025-07-01,NA,r31,Jul-25,17.2,Yes,2025,Jul,2025-04-01,2025-07-01,80,106,228401,NA,1
Cueibet,2025-07-01,NA,r31,Jul-25,10.3,No,2025,Jul,2025-04-01,2025-07-01,14,53,19482,NA,0
Duk,2025-07-01,NA,r31,Jul-25,23.9,Yes,2025,Jul,2025-04-01,2025-07-01,32,40,69348,NA,1
Ezo,2025-07-01,NA,r31,Jul-25,6.5,No,2025,Jul,2025-04-01,2025-07-01,9,52,49933,NA,0
Fangak,2025-07-01,NA,r31,Jul-25,80.4,Yes,2025,Jul,2025-04-01,2025-07-01,114,150,970919,39949.9695372772,1
Fashoda,2025-07-01,NA,r31,Jul-25,19.3,Yes,2025,Jul,2025-04-01,2025-07-01,0,0,0,38955.03988652463,1
Gogrial East,2025-07-01,NA,r31,Jul-25,18.1,Yes,2025,Jul,2025-04-01,2025-07-01,33,72,60932,NA,1
Gogrial West,2025-07-01,NA,r31,Jul-25,10.4,No,2025,Jul,2025-04-01,2025-07-01,4,1,16524,30915.01660783055,0
Guit,2025-07-01,NA,r31,Jul-25,26.3,Yes,2025,Jul,2025-04-01,2025-07-01,3,2,2127,NA,1
Ibba,2025-07-01,NA,r31,Jul-25,6.7,No,2025,Jul,2025-04-01,2025-07-01,3,1,12445,NA,0
Ikotos,2025-07-01,NA,r31,Jul-25,8.3,No,2025,Jul,2025-04-01,2025-07-01,29,23,718760,NA,0
Juba,2025-07-01,NA,r31,Jul-25,13.8,No,2025,Jul,2025-04-01,2025-07-01,144,80,231249,20689.157815942635,0
Jur River,2025-07-01,NA,r31,Jul-25,8.2,No,2025,Jul,2025-04-01,2025-07-01,0,0,0,NA,0
Kajo-keji,2025-07-01,NA,r31,Jul-25,19.5,Yes,2025,Jul,2025-04-01,2025-07-01,0,0,0,NA,1
Kapoeta East,2025-07-01,NA,r31,Jul-25,14.6,No,2025,Jul,2025-04-01,2025-07-01,19,31,84283,NA,0
Kapoeta North,2025-07-01,NA,r31,Jul-25,11.6,No,2025,Jul,2025-04-01,2025-07-01,5,15,108977,NA,0
Kapoeta South,2025-07-01,NA,r31,Jul-25,10.1,No,2025,Jul,2025-04-01,2025-07-01,4,0,24725,22570.84119427191,0
Koch,2025-07-01,NA,r31,Jul-25,13.2,No,2025,Jul,2025-04-01,2025-07-01,6,7,15230,NA,0
Lafon,2025-07-01,NA,r31,Jul-25,5.7,No,2025,Jul,2025-04-01,2025-07-01,0,0,0,NA,0
Lainya,2025-07-01,NA,r31,Jul-25,13.6,No,2025,Jul,2025-04-01,2025-07-01,38,38,81132,NA,0
Leer,2025-07-01,NA,r31,Jul-25,13.6,No,2025,Jul,2025-04-01,2025-07-01,7,28,9320,NA,0
Longochuk,2025-07-01,NA,r31,Jul-25,9,No,2025,Jul,2025-04-01,2025-07-01,18,38,91196,NA,0
